CLASS,PLATE,MJD,FIBERID
20,891,52584,455
20,1446,53080,633
20,1997,53442,204
20,439,51877,85
20,362,51999,44
20,498,51984,595
20,2493,54115,6
20,2880,54509,565
20,1841,53491,625
20,1596,52998,637
20,1811,53533,10
20,966,52642,541
20,2480,53851,238
20,1775,53847,52
20,1226,52734,291
20,1766,53468,511
20,1050,52721,128
20,573,52325,282
20,2128,53800,9
20,914,52721,513
20,702,52178,212
20,1213,52972,327
20,1748,53112,281
20,1449,53116,407
20,1696,53116,198
20,1366,53063,200
20,954,52405,496
20,833,52314,532
20,734,52224,458
20,604,52079,637
20,762,52232,78
20,1946,53432,380
20,2775,54535,292
20,1209,52674,221
20,305,51613,174
20,2503,53856,609
20,884,52374,478
20,1570,53149,228
20,1485,52992,14
20,1840,53472,87
20,1800,53884,431
20,304,51609,469
20,394,51913,301
20,1311,52765,262
20,2103,53467,534
20,1765,53466,147
20,1407,52886,309
20,1310,53033,405
20,964,52646,378
20,510,52381,300
20,328,52282,620
20,2142,54208,281
20,876,52669,515
20,1596,52998,145
20,696,52209,421
20,1971,53472,501
20,886,52381,305
20,394,51913,315
20,334,51993,493
20,584,52049,393
20,400,51820,153
20,276,51909,79
20,1392,52822,132
20,1301,52976,231
20,648,52559,539
20,2123,53793,56
20,2606,54154,362
20,1394,53108,453
20,2137,54206,19
20,2885,54497,268
20,954,52405,482
20,1176,52791,75
20,2516,54241,130
20,2614,54481,123
20,2500,54178,589
20,966,52642,233
20,806,52592,149
20,2610,54476,382
20,1792,54270,372
20,2598,54232,581
20,2351,53786,152
20,1028,52884,486
20,1798,53851,23
20,367,51997,612
20,1074,52937,61
20,2141,53764,495
20,2237,53828,338
20,2766,54242,371
20,680,52200,570
20,2357,53793,169
20,1848,54180,164
20,887,52376,578
20,1977,53475,198
20,2163,53823,182
20,1771,53498,66
20,1686,53472,511
20,2606,54154,404
20,640,52200,538
20,1835,54563,115
20,2143,54184,434
20,1171,52753,284
20,1595,52999,192
20,1761,53376,283
20,2082,53358,275
20,2783,54524,472
20,2604,54484,328
20,941,52709,316
20,1807,54175,394
20,1001,52670,113
20,542,51993,404
20,1518,52937,371
20,2110,53467,496
20,2503,53856,153
20,694,52209,614
20,624,52377,356
20,2795,54563,608
20,806,52592,607
20,2144,53770,451
20,471,51924,451
20,1025,53239,394
20,2166,54232,229
20,1769,53502,118
20,1864,53313,621
20,432,51884,441
20,1465,53082,184
20,677,52606,371
20,2619,54506,325
20,459,51924,498
20,1649,53149,325
20,512,51992,276
20,2011,53499,299
20,1971,53472,529
20,2581,54085,256
20,2644,54210,289
20,292,51609,205
20,391,51782,146
20,1033,52822,254
20,2115,53535,536
20,640,52200,276
20,2829,54623,216
20,1458,53119,339
20,2010,53495,92
20,2027,53433,252
20,2366,53741,304
20,802,52289,572
20,1705,53848,252
20,2767,54243,15
20,2354,53799,133
20,2519,54570,383
20,816,52379,247
20,932,52620,492
20,1693,53446,145
20,469,51913,364
20,2655,54184,600
20,657,52177,273
20,682,52525,179
20,2353,53794,29
20,2533,54585,423
20,1023,52818,466
20,785,52339,273
20,1401,53144,471
20,1864,53313,153
20,586,52023,639
20,471,51924,323
20,1023,52818,472
20,2419,54139,85
20,2783,54524,328
20,1012,52649,432
20,574,52355,98
20,2972,54586,457
20,509,52374,389
20,2341,53738,274
20,1560,53317,434
20,1395,52825,228
20,2752,54533,276
20,654,52146,208
20,284,51943,197
20,1417,53141,10
20,2580,54092,31
20,2619,54506,457
20,924,52409,464
20,1599,53089,82
20,2128,53800,378
20,280,51612,481
20,766,52247,194
20,2608,54474,562
20,1765,53466,609
20,2486,53876,143
20,1688,53462,577
20,382,51816,413
20,2295,53734,440
20,1720,53854,553
20,700,52199,605
20,938,52708,548
20,636,52176,109
20,971,52644,84
20,410,51877,531
20,1584,52943,412
20,1773,53112,498
20,946,52407,629
20,1323,52797,501
20,1542,53734,348
20,806,52592,613
20,2971,54590,615
20,1792,54270,428
20,2170,53875,537
20,1176,52791,452
20,1103,52873,472
20,1089,52913,259
20,2747,54233,557
20,1716,53827,502
20,604,52079,179
20,1572,53177,151
20,2024,53503,475
20,1300,52973,385
20,1689,53177,235
20,1449,53116,349
20,566,52238,140
20,406,51876,260
20,1691,53260,215
20,618,52049,11
20,1306,52996,572
20,830,52293,593
20,1829,53494,247
20,279,51984,503
20,1333,52782,291
20,388,51793,469
20,1438,53054,189
20,2028,53818,482
20,2659,54498,240
20,2270,53714,28
20,443,51873,559
20,2778,54539,23
20,2010,53495,299
20,1433,53035,553
20,2746,54232,212
20,1046,52460,479
20,1316,52790,470
20,1988,53469,301
20,1595,52999,421
20,2594,54177,497
20,1559,53271,311
20,524,52027,305
20,831,52294,94
20,2590,54175,342
20,1735,53035,130
20,935,52643,450
20,1228,52728,548
20,1988,53469,467
20,658,52146,55
20,1865,53312,616
20,2515,54180,599
20,1419,53144,73
20,856,52339,210
20,1749,53357,220
20,1029,52912,429
20,1608,53138,100
20,390,51900,374
20,1225,52760,453
20,926,52413,154
20,2114,53848,64
20,274,51913,376
20,997,52734,446
20,2653,54230,225
20,1405,52826,275
20,1206,52670,453
20,1402,52872,515
20,1797,54507,512
20,2346,53734,478
20,1819,54540,105
20,1837,53494,153
20,384,51821,33
20,2516,54241,497
20,445,51873,433
20,1166,52751,49
20,1608,53138,114
20,1669,53433,52
20,795,52378,456
20,550,51959,181
20,2514,53882,42
20,728,52520,461
20,274,51913,362
20,593,52026,575
20,406,51900,169
20,1027,52557,400
20,954,52405,125
20,1595,52999,353
20,1038,52673,173
20,1035,52816,239
20,1735,53035,124
20,2206,53795,485
20,1559,53271,463
20,425,51898,103
20,2033,53476,324
20,739,52520,72
20,880,52367,419
20,2119,53792,60
20,1371,52821,145
20,1701,53142,303
20,659,52199,20
20,820,52438,456
20,1866,53314,332
20,1346,52822,382
20,1755,53386,14
20,857,52314,246
20,697,52226,214
20,1032,53175,165
20,2011,53499,42
20,459,51924,117
20,349,51699,573
20,1644,53144,371
20,424,51893,34
20,894,52615,361
20,737,52518,114
20,607,52368,171
20,291,51928,174
20,1199,52703,69
20,1319,52791,186
20,831,52294,80
20,638,52081,151
20,902,52409,178
20,494,51915,618
20,2243,53794,571
20,2148,54526,286
20,1157,52643,499
20,2576,54086,556
20,2969,54586,162
20,1619,53084,548
20,2024,53503,16
20,287,52023,425
20,781,52373,76
20,1202,52672,392
20,1610,53144,473
20,900,52637,336
20,1085,52531,538
20,1347,52823,148
20,817,52381,534
20,1923,53319,483
20,926,52413,626
20,1028,52884,121
20,496,51988,5
20,1448,53120,621
20,1927,53321,158
20,1749,53357,552
20,548,51986,485
20,2584,54153,351
20,359,51821,431
20,445,51873,355
20,1195,52724,517
20,579,52338,371
20,1239,52760,200
20,2091,53447,256
20,2274,53726,439
20,582,52045,220
20,2591,54140,528
20,2116,53854,6
20,1969,53383,313
20,1594,52992,461
20,1006,52708,513
20,1748,53112,75
20,1485,52992,383
20,2494,54174,109
20,1021,52460,446
20,949,52427,51
20,2658,54502,544
20,1074,52937,303
20,1828,53504,13
20,1300,52973,77
20,1036,52582,273
20,2498,54169,379
20,1491,52996,89
20,742,52263,553
20,1930,53347,622
20,1069,52590,227
20,1196,52733,546
20,1423,53167,19
20,402,51793,25
20,753,52233,355
20,838,52378,322
20,873,52674,317
20,1166,52751,626
20,1278,52735,136
20,1465,53082,345
20,1425,52913,170
20,782,52320,506
20,2360,53728,195
20,1013,52707,614
20,452,51911,322
20,507,52353,459
20,1809,53792,640
20,893,52589,482
20,2020,53431,47
20,516,52017,459
20,546,52205,74
20,333,52313,337
20,2785,54537,632
20,397,51794,81
20,582,52045,546
20,1214,52731,183
20,2372,53768,543
20,2269,53711,51
20,1070,52591,19
20,1435,52996,505
20,893,52589,496
20,1788,54468,462
20,721,52228,475
20,2033,53476,318
20,912,52427,346
20,1086,52525,496
20,1377,53050,48
20,1508,52944,614
20,2577,54086,10
20,2775,54535,78
20,779,52342,95
20,1239,52760,572
20,443,51873,217
20,273,51957,42
20,393,51794,108
20,2571,54055,187
20,1002,52646,80
20,1418,53142,29
20,1986,53475,157
20,786,52319,91
20,986,52443,273
20,1486,52993,340
20,1563,52941,273
20,1610,53144,329
20,1081,52531,101
20,2090,53463,175
20,1070,52591,293
20,1597,52999,614
20,952,52409,243
20,1403,53227,265
20,1025,53239,141
20,1572,53177,390
20,1568,53169,561
20,1948,53388,282
20,1025,53239,627
20,1622,53385,406
20,1175,52791,457
20,2587,54138,431
20,1954,53357,383
20,1926,53317,197
20,1496,52883,327
20,2428,53801,588
20,1465,53082,437
20,664,52174,41
20,2521,54538,154
20,1030,52914,620
20,883,52430,624
20,908,52373,237
20,986,52443,515
20,2112,53534,331
20,727,52207,126
20,1204,52669,261
20,2135,53827,244
20,1335,52824,51
20,502,51957,153
20,878,52353,16
20,663,52145,568
20,725,52258,559
20,1238,52761,6
20,975,52411,409
20,2162,54207,510
20,1615,53166,489
20,2765,54535,321
20,2666,54230,472
20,964,52646,191
20,1940,53383,317
20,2792,54556,493
20,2666,54230,499
20,1433,53035,590
20,961,52615,38
20,1435,52996,288
20,307,51663,324
20,1756,53080,510
20,1319,52791,151
20,398,51789,234
20,584,52049,185
20,429,51820,355
20,2297,53738,135
20,1372,53062,228
20,1087,52930,152
20,1343,52790,368
20,1712,53531,357
20,2505,53856,213
20,353,51703,554
20,1755,53386,216
20,612,52079,177
20,1393,52824,409
20,2483,53852,13
20,1845,54144,141
20,1490,52994,468
20,2293,53730,330
20,1201,52674,113
20,1454,53090,204
20,404,51812,428
20,1954,53357,368
20,2653,54230,580
20,1590,52974,438
20,830,52293,236
20,2239,53726,611
20,1623,53089,340
20,1157,52643,328
20,660,52177,349
20,2654,54231,634
20,442,51882,413
20,2203,53915,348
20,367,51997,404
20,946,52407,403
20,624,52377,168
20,1280,52738,543
20,784,52327,606
20,575,52319,404
20,2756,54508,322
20,1008,52707,123
20,1655,53523,508
20,2022,53827,433
20,1560,53317,178
20,852,52375,605
20,1025,53239,18
20,2093,53818,265
20,1925,53327,466
20,2129,54252,286
20,404,51812,86
20,1717,53883,275
20,1319,52791,637
20,840,52374,237
20,2355,53792,417
20,924,52409,128
20,2520,54584,584
20,1326,52764,163
20,1295,52934,559
20,2776,54554,208
20,1308,53053,144
20,755,52235,252
20,896,52592,34
20,1350,52786,264
20,2594,54177,326
20,312,51689,557
20,2521,54538,59
20,1374,53083,206
20,650,52143,204
20,335,52000,625
20,1672,53460,239
20,2341,53738,88
20,350,51691,103
20,1206,52670,484
20,1030,52914,60
20,2755,54507,215
20,2005,53472,378
20,1363,53053,314
20,1703,53799,119
20,1556,53740,37
20,1551,53327,59
20,2596,54207,624
20,1430,53002,579
20,2595,54207,386
20,2298,53737,537
20,926,52413,183
20,1692,53473,539
20,1752,53379,301
20,2351,53786,436
20,1037,52878,348
20,1542,53734,176
20,2764,54535,307
20,1187,52708,633
20,1333,52782,246
20,2533,54585,609
20,2584,54153,392
20,2516,54241,332
20,1485,52992,368
20,2530,53881,270
20,396,51816,172
20,2484,54144,566
20,1399,53172,344
20,1722,53852,284
20,2663,54234,313
20,2349,53734,438
20,1034,52813,372
20,2596,54207,142
20,1859,53177,342
20,1991,53446,548
20,492,51955,234
20,1419,53144,425
20,1650,53174,455
20,568,52254,429
20,366,52017,215
20,1374,53083,560
20,1921,53317,75
20,1616,53169,58
20,820,52438,495
20,2374,53765,387
20,2001,53493,639
20,506,52022,167
20,353,51703,540
20,2783,54524,116
20,628,52083,130
20,2533,54585,621
20,1726,53137,92
20,1952,53378,161
20,469,51913,166
20,1802,53885,77
20,1995,53415,245
20,452,51911,487
20,1777,53857,340
20,1864,53313,345
20,1028,52884,5
20,794,52376,590
20,1775,53847,149
20,1046,52460,486
20,2010,53495,266
20,2087,53415,182
20,1826,53499,218
20,1351,52790,575
20,384,51821,542
20,2918,54554,391
20,1062,52619,639
20,1585,52962,304
20,749,52226,66
20,353,51703,568
20,2604,54484,102
20,1357,53034,540
20,996,52641,457
20,1224,52765,242
20,656,52148,491
20,929,52581,59
20,2773,54533,626
20,1496,52883,496
20,2949,54557,73
20,2357,53793,343
20,332,52367,220
20,734,52224,100
20,1490,52994,332
20,781,52373,421
20,1438,53054,610
20,947,52411,460
20,708,52175,336
20,1777,53857,432
20,1703,53799,125
20,2748,54234,543
20,2652,54508,408
20,2034,53466,268
20,1384,53121,188
20,864,52320,124
20,1951,53389,587
20,379,51789,412
20,2501,54084,246
20,624,52377,140
20,1159,52669,632
20,1197,52668,341
20,2650,54505,622
20,1692,53473,505
20,2793,54271,603
20,2085,53379,435
20,576,52325,312
20,1052,52466,85
20,275,51910,287
20,1679,53149,390
20,2267,53713,499
20,665,52168,328
20,1774,53759,60
20,1221,52751,216
20,1436,53054,15
20,714,52201,110
20,840,52374,579
20,658,52146,259
20,1675,53466,456
20,1358,52994,72
20,576,52325,474
20,659,52199,288
20,1214,52731,632
20,2577,54086,570
20,1235,52734,125
20,2658,54502,593
20,1627,53473,409
20,1700,53502,343
20,850,52338,196
20,2641,54230,389
20,955,52409,327
20,2144,53770,121
20,1347,52823,84
20,1763,53463,342
20,501,52235,376
20,625,52145,488
20,712,52199,540
20,2617,54502,559
20,745,52258,358
20,677,52606,601
20,1015,52734,2
20,1991,53446,574
20,1823,53886,190
20,1312,52781,299
20,1365,53062,604
20,2607,54184,493
20,1196,52733,368
20,1280,52738,392
20,399,51817,533
20,1867,53317,348
20,2134,53876,457
20,741,52261,33
20,537,52027,489
20,1974,53430,40
20,2613,54481,443
20,1571,53174,75
20,2345,53757,450
20,272,51941,529
20,788,52338,177
20,2523,54572,532
20,734,52224,14
20,1876,54464,185
20,2580,54092,393
20,1679,53149,569
20,1701,53142,505
20,592,52025,269
20,2274,53726,571
20,1431,52992,478
20,697,52226,374
20,1279,52736,602
20,2137,54206,184
20,432,51884,1
20,1195,52724,339
20,490,51929,85
20,929,52581,156
20,2478,54097,578
20,1576,53496,11
20,855,52375,173
20,528,52022,173
20,2156,54525,131
20,341,51690,130
20,997,52734,532
20,1725,54266,422
20,1798,53851,419
20,970,52413,259
20,614,53437,444
20,472,51955,540
20,839,52373,216
20,605,52353,73
20,2218,53816,85
20,1582,52939,608
20,1838,53467,230
20,1867,53317,88
20,2243,53794,363
20,1178,52825,480
20,2095,53474,112
20,1050,52721,289
20,988,52520,26
20,1464,53091,471
20,1486,52993,208
20,1353,53083,489
20,2370,53764,93
20,931,52619,160
20,2210,53535,54
20,908,52373,73
20,541,51959,376
20,1048,52736,276
20,2579,54068,170
20,390,51900,214
20,1305,52757,292
20,1446,53080,592
20,2513,54141,309
20,463,51908,403
20,1981,53463,47
20,1284,52736,111
20,802,52289,189
20,2101,53858,74
20,2590,54175,222
20,1713,53827,531
20,2036,53446,634
20,1287,52728,235
20,1190,52670,17
20,1292,52736,335
20,1851,53524,274
20,935,52643,256
20,405,51816,176
20,569,52264,299
20,849,52439,69
20,2157,54242,181
20,2973,54591,592
20,1329,52767,180
20,2140,53858,486
20,1279,52736,616
20,2787,54552,84
20,2573,54061,128
20,2498,54169,225
20,541,51959,410
20,487,51943,93
20,390,51900,572
20,2595,54207,557
20,841,52375,638
20,614,53437,336
20,931,52619,606
20,1681,53172,3
20,1222,52763,557
20,2777,54554,400
20,2372,53768,77
20,1336,52759,44
20,1453,53084,618
20,2202,53566,243
20,2589,54174,97
20,434,51885,499
20,2030,53499,66
20,2765,54535,241
20,303,51615,311
20,1357,53034,391
20,1396,53112,24
20,880,52367,223
20,2374,53765,218
20,1200,52668,271
20,656,52148,240
20,1395,52825,189
20,1074,52937,277
20,1648,53171,197
20,986,52443,475
20,845,52381,572
20,1069,52590,435
20,2138,53757,202
20,2225,53729,574
20,1867,53317,374
20,1070,52591,495
20,522,52024,596
20,1506,53003,149
20,519,52283,199
20,2136,53494,242
20,2173,53874,127
20,1622,53385,200
20,1798,53851,425
20,1465,53082,231
20,1026,52558,104
20,449,51900,37
20,888,52339,5
20,2595,54207,219
20,412,52258,220
20,1074,52937,511
20,591,52022,576
20,1163,52669,179
20,962,52620,420
20,1812,53795,49
20,2113,53468,600
20,1090,52903,439
20,1408,52822,587
20,313,51673,296
20,1114,53179,189
20,2372,53768,423
20,2665,54232,412
20,1825,53504,379
20,1772,53089,206
20,805,52586,352
20,1360,53033,566
20,1321,52764,629
20,1491,52996,198
20,1747,53075,278
20,658,52146,488
20,2742,54233,558
20,440,51885,510
20,842,52376,503
20,1873,54437,137
20,2588,54174,267
20,1722,53852,469
20,744,52251,625
20,2134,53876,319
20,1658,53240,522
20,2658,54502,342
20,1299,52972,382
20,1765,53466,23
20,1818,54539,91
20,1029,52912,213
20,1428,52998,455
20,1839,53471,521
20,2609,54476,82
20,1393,52824,596
20,1091,52902,181
20,1406,52876,468
20,970,52413,517
20,744,52251,143
20,854,52373,110
20,2587,54138,545
20,299,51671,179
20,2209,53907,558
20,1619,53084,400
20,1271,52974,391
20,452,51911,524
20,1418,53142,283
20,962,52620,352
20,2202,53566,257
20,2767,54243,554
20,595,52023,374
20,947,52411,17
20,805,52586,434
20,443,51873,405
20,2112,53534,245
20,2091,53447,336
20,278,51900,145
20,2973,54591,545
20,778,54525,199
20,576,52325,528
20,1322,52791,614
20,568,52254,549
20,1595,52999,596
20,650,52143,402
20,665,52168,512
20,1160,52674,361
20,2123,53793,3
20,851,52376,476
20,437,51876,422
20,1991,53446,428
20,1505,52941,450
20,1651,53442,318
20,1457,53116,303
20,1209,52674,157
20,305,51613,202
20,1074,52937,288
20,2424,54448,110
20,906,52368,10
20,608,52081,61
20,1803,54152,190
20,1061,52641,630
20,1055,52761,475
20,841,52375,189
20,2359,53826,343
20,2210,53535,83
20,2218,53816,46
20,834,52316,433
20,2517,54567,212
20,1399,53172,542
20,730,52466,182
20,1094,52524,9
20,1229,52723,483
20,764,52238,619
20,723,52201,348
20,1495,52944,549
20,328,52282,230
20,2602,54149,426
20,1441,53083,247
20,2126,53794,87
20,903,52400,411
20,2082,53358,117
20,2032,53815,213
20,2973,54591,223
20,443,51873,388
20,1460,53138,639
20,937,52707,566
20,1997,53442,172
20,668,52162,248
20,1596,52998,541
20,706,52199,343
20,1080,52614,398
20,1751,53377,145
20,2149,54509,46
20,2112,53534,92
20,2768,54265,264
20,1453,53084,195
20,534,51997,72
20,1747,53075,287
20,1170,52756,49
20,545,52202,339
20,1670,54553,601
20,1305,52757,251
20,1191,52674,621
20,2286,53700,208
20,1156,52641,141
20,384,51821,378
20,2970,54589,181
20,782,52320,22
20,706,52199,357
20,1163,52669,192
20,1841,53491,547
20,2275,53709,634
20,906,52368,425
20,2947,54533,187
20,1720,53854,619
20,1409,52824,255
20,485,51909,634
20,497,51989,119
20,680,52200,148
20,379,51789,214
20,2754,54240,341
20,2283,53729,525
20,1977,53475,58
20,802,52289,604
20,1212,52703,544
20,2774,54534,312
20,2224,53815,611
20,757,52238,124
20,499,51988,344
20,1683,53436,326
20,2493,54115,151
20,1600,53090,254
20,1976,53401,312
20,1944,53385,145
20,372,52173,140
20,1949,53433,266
20,1768,53442,45
20,1399,53172,556
20,786,52319,351
20,2884,54526,149
20,511,52636,236
20,599,52317,80
20,1070,52591,318
20,1057,52522,331
20,2199,53556,6
20,1222,52763,53
20,2352,53770,331
20,2356,53786,383
20,1092,52639,522
20,1992,53466,132
20,492,51955,340
20,1719,53876,8
20,790,52441,531
20,1948,53388,309
20,1704,53178,300
20,1373,53063,182
20,2013,53818,310
20,282,51658,597
20,1426,52993,327
20,1015,52734,34
20,608,52081,75
20,722,52224,278
20,270,51909,314
20,1841,53491,221
20,2488,54149,110
20,400,51820,225
20,2973,54591,551
20,2794,54537,348
20,2477,54058,242
20,2093,53818,463
20,366,52017,361
20,355,51788,385
20,2129,54252,480
20,2036,53446,191
20,2615,54483,71
20,713,52178,69
20,1060,52636,633
20,464,51908,567
20,2094,53851,320
20,492,51955,368
20,1801,54156,39
20,2645,54477,514
20,2148,54526,319
20,610,52056,169
20,289,51990,535
20,530,52026,10
20,1716,53827,106
20,1951,53389,381
20,2234,53823,207
20,568,52254,575
20,292,51609,173
20,709,52205,584
20,294,51986,463
20,1644,53144,588
20,666,52149,555
20,1332,52781,566
20,1079,52621,57
20,1694,53472,29
20,805,52586,385
20,1224,52765,336
20,1706,53442,283
20,1379,53084,48
20,1719,53876,607
20,388,51793,284
20,682,52525,569
20,700,52199,567
20,959,52411,166
20,2502,54180,189
20,1805,53875,591
20,2954,54561,102
20,1014,52707,162
20,890,52583,221
20,2645,54477,272
20,1948,53388,447
20,769,54530,405
20,1018,52672,306
20,367,51997,558
20,2023,53851,50
20,1443,53055,469
20,348,51671,176
20,1365,53062,189
20,2245,54208,565
20,1948,53388,453
20,1693,53446,541
20,2645,54477,266
20,615,52347,590
20,1590,52974,564
20,794,52376,396
20,499,51988,350
20,569,52264,500
20,2165,53917,403
20,555,52266,620
20,2750,54242,480
20,2761,54534,480
20,1499,53001,291
20,1286,52725,542
20,2495,54175,260
20,1645,53172,209
20,543,52017,547
20,576,52325,500
20,861,52318,234
20,1090,52903,388
20,1332,52781,214
20,559,52316,515
20,2146,54230,404
20,893,52589,247
20,2433,53820,148
20,1849,53846,196
20,2602,54149,368
20,1267,52932,313
20,764,52238,157
20,2487,53852,102
20,1708,53503,114
20,1053,52468,9
20,537,52027,462
20,1995,53415,325
20,2348,53757,631
20,1243,52930,259
20,1763,53463,236
20,785,52339,105
20,1168,52731,590
20,2159,54328,592
20,505,52317,134
20,2132,53493,18
20,775,52295,425
20,2501,54084,454
20,1353,53083,310
20,2502,54180,374
20,346,51693,430
20,363,51989,532
20,1673,53462,291
20,297,51959,452
20,638,52081,64
20,1373,53063,431
20,1741,53052,301
20,2508,53875,525
20,2143,54184,597
20,804,52286,106
20,1837,53494,76
20,2437,53848,499
20,958,52410,151
20,459,51924,513
20,450,51908,114
20,338,51694,367
20,725,52258,161
20,901,52641,536
20,2593,54175,596
20,858,52316,263
20,1279,52736,400
20,727,52207,278
20,1031,53172,242
20,2644,54210,302
20,498,51984,344
20,976,52413,125
20,2592,54178,578
20,2368,53758,56
20,958,52410,637
20,731,52460,308
20,1268,52933,418
20,967,52636,244
20,2514,53882,288
20,2113,53468,358
20,973,52426,376
20,885,52379,247
20,1797,54507,102
20,1025,53239,579
20,561,52295,54
20,1474,52933,148
20,909,52379,306
20,2127,53859,480
20,1657,53520,563
20,330,52370,121
20,1016,52759,295
20,541,51959,606
20,2579,54068,400
20,1024,52826,260
20,1381,53089,532
20,2485,54176,204
20,1210,52701,106
20,1628,53474,596
20,593,52026,165
20,2090,53463,559
20,2122,54178,599
20,1972,53466,242
20,1721,53857,87
20,1773,53112,275
20,819,52409,12
20,1414,53135,220
20,339,51692,338
20,2153,54212,565
20,1283,52762,315
20,1045,52725,42
20,1628,53474,69
20,2097,53491,59
20,335,52000,20
20,589,52055,13
20,1599,53089,301
20,1076,52914,449
20,681,52199,323
20,426,51882,575
20,528,52022,403
20,355,51788,144
20,2528,54571,513
20,1012,52649,20
20,2168,53886,330
20,405,51816,412
20,1004,52723,459
20,638,52081,541
20,2518,54243,319
20,1920,53314,260
20,2770,54510,176
20,1789,54259,15
20,2131,53819,447
20,2087,53415,579
20,2371,53762,3
20,364,52000,128
20,1279,52736,372
20,2593,54175,582
20,739,52520,494
20,1291,52738,561
20,2365,53739,410
20,2482,54175,260
